Sample	tes_down_1kb-5kb_total_bases	tes_down_1kb_total_bases	other_intergenic_tag_pct	tes_down_1kb_tags_kb	3_utr_exons_tag_pct	tes_down_1kb_tag_count	tes_down_1kb_tag_pct	5_utr_exons_total_bases	tss_up_5kb_tags_kb	tes_down_10kb_tags_kb	5_utr_exons_tags_kb	5_utr_exons_tag_count	3_utr_exons_total_bases	tes_down_10kb_tag_pct	3_utr_exons_tags_kb	total_reads	tss_up_1kb_tag_pct	cds_exons_total_bases	introns_tag_count	tss_up_10kb_tag_pct	tes_down_5kb-10kb_total_bases	cds_exons_tag_count	tss_up_5kb-10kb_tag_count	5_utr_exons_tag_pct	tes_down_5kb_tag_pct	tes_down_1kb-5kb_tag_count	cds_exons_tag_pct	cds_exons_tags_kb	tes_down_5kb_tags_kb	tss_up_1kb_tag_count	total_tags	3_utr_exons_tag_count	total_assigned_tags	tss_up_5kb_tag_pct	tes_down_5kb-10kb_tag_count	introns_tag_pct	tss_up_1kb-5kb_total_bases	introns_total_bases	introns_tags_kb	tss_up_10kb_tags_kb	tss_up_5kb-10kb_total_bases	other_intergenic_tag_count	tss_up_1kb_total_bases	tss_up_1kb_tags_kb	tss_up_1kb-5kb_tag_count
MI_24Hr_SRR12108291_read_distribution	124532769	37311462	3.679209344782139	0.99	30.0027219026604	36808	0.18567048392160598	36900028	0.08	0.25	13.4	494629	61314908	0.35739348664229803	97.0	16828430	0.020484890110998747	36902569	260433	0.112018703446183	123615777	12299018	9890	2.4950555800820484	0.32180597131772376	26988	62.03989958217079	333.28	0.39	4061	19824368	5947850	19094988	0.06213060613079822	7055	1.313701400216138	123207134	1097934901	0.24	0.08	125265442	729380	34872227	0.12	8256
MI_24Hr_SRR12108294_read_distribution	124532769	37311462	3.808176354796448	1.34	28.44935416279677	50084	0.18375183127205658	36900028	0.12	0.38	21.55	795365	61314908	0.39555953375522684	126.47	23047600	0.024541090954771715	36902569	516520	0.13739562194128357	123615777	17006960	19035	2.918093109170579	0.3531106740831221	46161	62.396374977450186	460.86	0.59	6689	27256327	7754249	26218358	0.06755862592931175	11570	1.895046240089503	123207134	1097934901	0.47	0.13	125265442	1037969	34872227	0.19	11725
MI_24Hr_SRR12108298_read_distribution	124532769	37311462	3.714383290392166	1.34	27.56261398821812	49942	0.1747363044709605	36900028	0.13	0.36	21.94	809639	61314908	0.3545773357895268	128.48	24173320	0.025852519997916122	36902569	501936	0.13968198076557117	123615777	18189123	18883	2.8327525292452043	0.3126653941120282	39422	63.63982488862581	492.9	0.55	7389	28581353	7877768	27519732	0.07361442965978553	11979	1.7561659869635982	123207134	1097934901	0.46	0.14	125265442	1061621	34872227	0.21	13651
MI_24Hr_SRR12108299_read_distribution	124532769	37311462	3.6701222242814935	1.89	27.45654861590404	70497	0.1847500165626921	36900028	0.17	0.52	29.88	1102723	61314908	0.39142725539838935	170.87	32121722	0.024681556037667335	36902569	681956	0.14022991951789568	123615777	24293169	27127	2.889883151255536	0.3466215043285233	61767	63.66460097749235	658.31	0.82	9418	38158048	10476883	36757601	0.06913875678336585	17097	1.7871878561502936	123207134	1097934901	0.62	0.19	125265442	1400447	34872227	0.27	16964
SHAM_24Hr_SRR12108290_read_distribution	124532769	37311462	3.764826023628245	0.96	30.216332375378315	35828	0.19230307841116692	36900028	0.07	0.27	14.2	523852	61314908	0.41341834072629563	91.81	16012570	0.01992377545668895	36902569	304704	0.11792169902571556	123615777	11372425	11276	2.8117213417396063	0.3730662545508141	33678	61.04031306520361	308.17	0.43	3712	18631007	5629607	17929582	0.05739893715889861	7518	1.6354671542982084	123207134	1097934901	0.28	0.08	125265442	701425	34872227	0.11	6982
SHAM_24Hr_SRR12108292_read_distribution	124532769	37311462	3.664783945301177	0.81	28.811395845722547	30082	0.17605777026538652	36900028	0.06	0.23	12.22	450996	61314908	0.3768895762176749	80.29	14681272	0.021391235633268654	36902569	291913	0.1090865228367974	123615777	10711470	8577	2.639497046692649	0.33936858807953935	27904	62.68989842645368	290.26	0.36	3655	17086437	4922841	16460256	0.05888881339041019	6411	1.708448636775473	123207134	1097934901	0.27	0.07	125265442	626181	34872227	0.1	6407
SHAM_24Hr_SRR12108293_read_distribution	124532769	37311462	3.6267287488150837	0.6	31.627622548688954	22571	0.1927202613024102	36900028	0.03	0.16	7.75	286051	61314908	0.37935264230228094	60.41	10086558	0.015334969177224256	36902569	153941	0.08912383534068308	123615777	7088018	4908	2.442418300731724	0.348067939036496	18194	60.52034385167635	192.07	0.25	1796	11711794	3704162	11287039	0.04721736055125287	3664	1.314410072444922	123207134	1097934901	0.14	0.04	125265442	424755	34872227	0.05	3734
SHAM_24Hr_SRR12108295_read_distribution	124532769	37311462	6.813609227360623	0.73	26.445767607512444	27166	0.16841697528543192	36900028	0.05	0.99	50.59	1866619	61314908	1.7531645447983513	69.57	14181814	0.013267036998852401	36902569	745107	0.773468257033095	123615777	7746121	117322	11.572197820449006	1.4763608368722947	210974	48.02246444139605	209.91	1.47	2140	16130203	4265756	15031154	0.046124651996010214	44649	4.619328101450428	123207134	1097934901	0.68	0.44	125265442	1099049	34872227	0.06	5300
SHAM_24Hr_SRR12108296_read_distribution	124532769	37311462	3.645741088479732	0.98	28.241555305833387	36696	0.17651365898057494	36900028	0.07	0.26	14.72	543326	61314908	0.35901596809824426	95.76	17697301	0.021140656508056105	36902569	297413	0.09208571744942573	123615777	13225652	7735	2.613485401114014	0.32593649260202084	31064	63.617512179086525	358.39	0.42	4395	20789326	5871229	20031401	0.054879124027397516	6877	1.430604339938678	123207134	1097934901	0.27	0.07	125265442	757925	34872227	0.13	7014
SHAM_6Hr_SRR12108300_read_distribution	124532769	37311462	3.207410530254003	0.38	26.746772266768637	14147	0.16215750288220146	36900028	0.03	0.11	6.96	256814	61314908	0.35574469919078283	38.06	7305656	0.02207643673931717	36902569	115712	0.11325922711380736	123615777	5697518	4697	2.9436853711168225	0.3178158678458189	13580	65.30679942789247	154.39	0.17	1926	8724234	2333451	8444412	0.05942068954133967	3309	1.3263284776634832	123207134	1097934901	0.11	0.03	125265442	279822	34872227	0.06	3258
